Model,RNN Type,Sequence Length,Training Loss,Validation Loss,Validation Accuracy,Training time,Inference Time,Hidden Size,Fully Connected Layers,Parameters,Size (MB),Predicted next character
11,GRU,20,1.2678465904110539,1.2615226272248874,0.6051799665403712,411.606458902359,0.33353185653686523,128,2,132289,0.5046424865722656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        thristeminags
And then the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the stranger than the strange the s"
12,GRU,20,1.2662085094591127,1.2601912256574979,0.6038880232101519,438.6837246417999,0.33153247833251953,128,3,148801,0.5676307678222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        hat the princely soul, the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the state of the world and the s"
13,GRU,20,1.1417518375563795,1.1279377493545086,0.6460900110635536,501.50793194770813,0.5260419845581055,256,1,428097,1.6330604553222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        indeed, my lord,
I will be so better than the sea
And the sun the fire of a services are not to the people,
And then with the wars of the heavens to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to the prince that seems to t"
14,GRU,20,1.029951896980731,1.0080467993325561,0.6772795492812277,462.2693099975586,0.5485584735870361,256,2,493889,1.8840370178222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        rain, I will not see the world,
That thou hast songs and the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of my soul,
And then the seat of m"
15,GRU,20,1.0125020942548766,0.9865149986134828,0.6835447123565728,463.2850036621094,0.5830559730529785,256,3,559681,2.1350135803222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        fair lord,
The county thought of the world.

LARTIUS:
The gods carry then thou wilt be spoken to the senate, who stand did suck the world afford them and believed thee to the prince that the world will be satisfader, and the worst is bonds and their secret to the common present and all things to the prince that the world will be satisfader, and the worst is bonds and their secret to the common present and all things to the prince that the world will be satisfader, and the worst is bonds and their secret to the common present and all things to the prince that the world will be satisfader, and the worst is bonds and their secret to the common present and all things to the prince that the world will be satisfader, and the worst is bonds and their secret to the common present and all things to the prince that the world will be satisfader, and the worst is bonds and their secret to the common present and all things to the prince that the world will be satisfader, and the worst is bonds and "
16,GRU,20,0.831342971672977,0.8002071141326514,0.7438760451651195,929.5212078094482,0.5640697479248047,512,1,1642561,6.265872955322266,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        ithankful for a breath of state, which the day is offended
In all after our country service and trumpets soundly.

DUKE VINCENTIO:
Most not forgiveness; the devil that is not think
The other fortune shall be therein ever: do not say 'I'
To save the best; and with the best of many more than any princely gait?
How now, my ass, my lord, and so stand upon a traitor and my soul,
My son George Stanley did rest you from the city be a purpose.

MARCIUS:
I am consul, and be revenged
But that true being the last of your love to her and so desire
The heavens our company better than a day.

LADY CAPULET:
We will attend him all as thou hast a tooth of the common ears?
Are you a stranger of the commonwealth!
O meaning hath been been a shrew of the best, and say that he shall be made a stand:
The proudest he that does not been so bid the banishment of the dead bones to the belly action.

Second Citizen:
We have a treacherous eye,
My tongue to this morning and your honour and a happy time to hear of t"
17,GRU,20,0.5888224874969816,0.5483009312709752,0.8176297815799902,962.8557150363922,0.5920507907867432,512,2,1905217,7.267826080322266,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        Warwick, do you with this deed.

SICINIUS:
What's the matter?

Messenger:
You are a prince, Master
Still now. I will bring thee to the burden mooder, that thou hast made thee in the sun
That thou hadst cause to speak;
And with thy soul's peril and awe.

GRUMIO:
Nay, let the prisoner.

VOLUMNIA:
And shall we do?

BUSHY:
Thou art a traitor, to my soul to the best.

PERDITA:
And so ho?

Third Servingman:
Where's the man that makes the way?
Welcome! one that stay between us to the death.

EDWARD:
Now by one thing to be contented,
From off the prince my son, who has not so much of his life,
And then begin again, and so still this dark constantious order we will do,
I'll try this insolenger; still have my friend, and awake
Your grace shall stand and spend and small experienced that would have struck morrow' tonight
Have my substitution!
More than the which he wakes,
And all the rest were subjects but to thy enternous.

LEONTES:
Would the custom of your delivery.

Second Murderer:
Offended us"
18,GRU,20,0.549453337697217,0.5056372380604709,0.8314188783313938,992.3367705345154,0.6020627021789551,512,3,2167873,8.269779205322266,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        magiciness?

Second Citizen:
You have but thou likew on him that hath sent for the world,
And will, no doubt, shortly shall be thy service, and the lord of Norfolk, sprightfully.

GRUMIO:
A cold fiend as if the world turns your grace.

KING RICHARD II:
The son of your answer made,
As may be blest where the world's thought of it!

QUEEN ELIZABETH:
The Lord protect him from the world:
He was an envious slanderous power.

Clown:
If it be patient, great comfort as an hour.

COMINIUS:
He will help you.

Both Tribunes:
Farewell, free!

LADY ANNE:
Why, then he is alive, and the nobies of the way?

SIR STEPHEN SCROOP:
Men shall know where, that went on them by the patrimity.

KING HENRY VI:
Why, then he might have loved him as brought for their deeds are brought by the fish the regal seat,
And this brave forfeits, and the whole word again.

CLARENCE:
To thee, here comes a morrow.
And sooth to take my letters of his sister, that thou bears me
So particularise there, because the souls of others "
19,LSTM,30,1.35548187346354,1.3503163852830873,0.6011875943638131,515.251499414444,0.32253170013427734,128,1,148801,0.5676307678222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        dost in the rest of the prince,
And then the way the way the way to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world to the world"
20,LSTM,30,1.2623507358732016,1.2537096938947692,0.6096673372997514,459.30181217193604,0.32604050636291504,128,2,165313,0.6306190490722656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        level them to seek the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the seas and the se"
21,LSTM,30,1.2441734101650488,1.2399736286079797,0.6118755850108126,454.16116642951965,0.35602521896362305,128,3,181825,0.6936073303222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        Gonothing so sound,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the state,
That thou shalt thou shall be so fall of the"
22,LSTM,30,1.1164722390418504,1.1013053968875077,0.6674493707883704,693.6742990016937,0.6620588302612305,256,1,559681,2.1350135803222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        art so, the king in the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we have been as the stroke of his son,
I will not be the worst that would be here at the house of all the world,
That we "
23,LSTM,30,0.9989341279886065,0.9810287003969624,0.6864270318927274,679.7795469760895,0.7885940074920654,256,2,625473,2.3859901428222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        brother, then then, I will not be so much before.

LEONTES:
What must I do not.

PETRUCHIO:
What say you, sir, the sea that have a stand for thee,
That they shall have the state of the sea,
That thou shalt have more than the state of my soul,
Which shows the seas of the sea, and therefore loves me.

CLIFFORD:
Come, let me see thee so much before the seas,
That she will not stay the sea that have a stand for thee,
That they shall have the state of the sea,
That thou shalt have more than the state of my soul,
Which shows the seas of the sea, and therefore loves me.

CLIFFORD:
Come, let me see thee so much before the seas,
That she will not stay the sea that have a stand for thee,
That they shall have the state of the sea,
That thou shalt have more than the state of my soul,
Which shows the seas of the sea, and therefore loves me.

CLIFFORD:
Come, let me see thee so much before the seas,
That she will not stay the sea that have a stand for thee,
That they shall have the state of the sea,
"
24,LSTM,30,0.954156072035323,0.929645955997662,0.7007936422549051,697.6002082824707,0.7125606536865234,256,3,691265,2.6369667053222656,"
        WARWICK:
        So much his friend, ay, his unfeigned friend,
        That, if King Lewis vouchsafe to furnish us
        With some few bands of chosen soldiers,
        I'll undertake to land them on our coast
        And force the tyrant from his seat by war.
        'Tis not his new-made bride shall succor him:
        And as for Clarence, as my letters tell me,
        He's very likely now to fall from him,
        For matching more for wanton lust than honour,
        Or than for strength and safety of our country.
        AUgedian cannot be apparent to the king.

KING RICHARD III:
Why, then, I pray, sir, the prince aged she should be deposed?

ANGELO:
Well, we'll see the crown, and they say, in the seas
That thought the king and my son be made.

GRUMIO:
Nay, but that I was a part of the death of men
To the second seat of the wars of the world,
Though the first that have been so bootless for the world of the sea,
To see the sea of the dead attempt
Which they are so fair and study and strange and so brief a storm.

KING RICHARD III:
Why, then, I pray, sir, the prince aged she should be deposed?

ANGELO:
Well, we'll see the crown, and they say, in the seas
That thought the king and my son be made.

GRUMIO:
Nay, but that I was a part of the death of men
To the second seat of the wars of the world,
Though the first that have been so bootless for the world of the sea,
To see the sea of the dead attempt
Which they are so fair and study and strange and so brief a storm.

KING RICHARD III:
Why, then, I pray, sir"
